,GAbst,GAbst2,GFut,GP,Nas,NasAbst,NasAbst1,NasAbst2,NasF,NasN,NasP
Adj,1,12,0,0,0,1,3,11,0,0,1
AdjInf,0,0,0,0,0,0,0,1,0,0,0
Adv,0,5,0,2,0,0,0,2,0,1,0
AdvInf,0,0,0,0,0,1,1,1,0,0,0
Inf,0,2,0,0,0,0,1,2,0,0,0
InfAdv,0,0,0,0,0,0,0,1,0,0,0
N1,0,8,0,0,0,1,0,9,0,0,2
N1N2,0,1,0,0,0,0,0,0,0,0,0
N2,0,0,0,0,0,0,0,1,0,0,0
N6,0,1,0,0,0,0,0,0,0,0,0
Neg,0,1,0,0,0,0,0,1,0,0,0
NumN2N2,0,0,0,0,0,0,0,1,0,0,1
Part,0,0,0,0,0,1,0,0,0,0,0
PartPraet,0,0,0,0,0,0,0,0,1,0,2
Praed,0,3,0,0,0,0,1,4,0,0,0
PraedInf,0,1,0,0,0,0,0,4,0,0,0
Pron,0,1,0,0,0,0,0,1,0,0,1
Vf1plFutN6,0,0,0,0,0,0,0,0,1,0,0
Vf1plPraes,0,0,0,0,0,0,0,1,0,0,0
Vf1sFutInf,0,0,1,0,0,0,0,0,0,0,0
Vf1sPraes,0,0,0,0,0,0,12,2,0,2,0
Vf2sFut,0,0,0,0,0,0,0,1,0,0,0
Vf3Praet,0,0,0,1,0,0,0,0,0,0,0
Vf3plFut,0,0,1,0,0,0,0,0,0,0,0
Vf3plPraed,0,0,0,0,0,0,0,0,0,0,2
Vf3plPraes,0,2,0,1,0,1,3,1,0,0,0
Vf3sFut,0,0,0,0,0,0,0,0,1,0,0
Vf3sFutAdvN2,0,0,0,0,0,0,0,0,1,0,0
Vf3sPraes,0,16,0,2,1,0,20,11,0,3,1
Vf3sPraesInf,0,1,0,2,0,1,2,1,0,0,0
Vf3sPraesInfPart,1,0,0,0,0,0,0,0,0,0,0
Vf3sPraet,1,1,0,0,0,0,0,0,0,0,2
Vf3sPraetInf,0,0,0,1,0,0,0,0,0,0,0
VfN6,0,1,0,0,0,0,0,0,0,0,0
VfPraet,0,4,0,20,0,0,1,3,0,0,38
VfPraetAdj,0,0,0,0,0,0,0,0,1,0,1
VfPraetInf,0,0,0,0,0,0,1,0,0,0,2
